                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.008,                 4.1457,                 4.1366,                0.00066,                0.04435,                0.00039,                0.00015,                 3.8245,                 4.3631,                 4.1718,             0.00064957,             0.00064957,             0.00064957
                      2,                 3.3395,                 3.4378,                 3.4987,                0.00112,                0.02357,                 0.0006,                0.00022,                 3.9129,                  4.261,                 4.2788,              0.0012902,              0.0012902,              0.0012902
                      3,                 2.9948,                 3.0905,                 3.0114,                0.04955,                0.04035,                0.01112,                0.00381,                 3.2471,                 3.8457,                 3.8435,              0.0019044,              0.0019044,              0.0019044
                      4,                  2.854,                 2.8331,                 2.7447,                0.15916,                0.10188,                0.06194,                0.02191,                 2.6475,                 2.9994,                  2.855,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.6164,                 2.5475,                 2.5086,                0.21671,                0.14702,                 0.1004,                0.03659,                 2.4893,                 3.1846,                 2.5685,              0.0018812,              0.0018812,              0.0018812
                      6,                  2.434,                 2.3638,                 2.3543,                0.30077,                0.21614,                0.18619,                0.08431,                 2.2974,                 2.5285,                 2.3228,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.2887,                 2.1594,                 2.1849,                 0.5008,                0.23172,                 0.2503,                0.12146,                 2.0877,                 2.7099,                 2.1593,               0.001802,               0.001802,               0.001802
                      8,                 2.1459,                 1.9251,                 2.0829,                0.63336,                0.29724,                 0.3388,                0.15973,                  2.157,                 1.9893,                 2.1268,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.1471,                 1.8734,                 2.0331,                0.66378,                0.33364,                0.38275,                0.18207,                 2.0892,                 1.8168,                 2.0898,              0.0017228,              0.0017228,              0.0017228
                     10,                 2.0304,                 1.7333,                 1.9474,                0.68377,                0.37435,                0.43405,                0.22157,                 1.9062,                 1.6442,                 1.9404,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.0156,                  1.693,                 1.9042,                0.70707,                0.40511,                0.46146,                0.23326,                  1.902,                 1.6356,                 1.9268,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.9354,                 1.6156,                 1.8421,                0.70268,                0.40978,                0.47069,                 0.2411,                 1.8485,                 1.6515,                 1.8455,               0.001604,               0.001604,               0.001604
                     13,                 1.8939,                 1.5896,                 1.8033,                0.70828,                0.41614,                0.48533,                0.24282,                 1.8633,                 1.5919,                 1.9013,              0.0015644,              0.0015644,              0.0015644
                     14,                  1.888,                 1.5434,                 1.7873,                0.73456,                0.42789,                0.50445,                0.26179,                 1.8123,                 1.4773,                 1.8088,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.8413,                 1.4923,                 1.7837,                0.78745,                0.43468,                0.51929,                0.27239,                  1.772,                 1.4581,                 1.8021,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.7777,                  1.412,                 1.7101,                0.73923,                0.45529,                0.52934,                0.26429,                 1.8416,                 1.4747,                 1.7742,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.7988,                  1.427,                  1.719,                0.76852,                0.48582,                0.56379,                0.29495,                 1.7819,                 1.3988,                 1.7558,               0.001406,               0.001406,               0.001406
                     18,                 1.7563,                 1.3871,                 1.6672,                0.80155,                0.47604,                0.55275,                0.30466,                 1.7029,                   1.36,                 1.6871,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.7324,                 1.3729,                   1.67,                0.77863,                 0.5026,                0.57882,                0.31759,                 1.6727,                  1.283,                 1.6723,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.7527,                 1.2946,                 1.6577,                  0.785,                0.47845,                0.55854,                0.31049,                 1.6362,                 1.3205,                 1.6499,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.7129,                 1.3242,                  1.632,                0.80962,                0.51482,                0.60096,                 0.3295,                 1.6202,                 1.2344,                 1.6226,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.7007,                 1.2974,                 1.6385,                0.78508,                 0.4978,                 0.5787,                0.31635,                 1.6412,                 1.2537,                 1.6674,               0.001208,               0.001208,               0.001208
                     23,                 1.6909,                 1.2715,                 1.6099,                0.80275,                0.51378,                0.60142,                0.32746,                 1.6354,                 1.2301,                 1.6384,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.6802,                 1.2503,                 1.5955,                0.82405,                0.51831,                0.61293,                0.35261,                 1.5684,                 1.1377,                 1.5972,              0.0011288,              0.0011288,              0.0011288
