                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91778,                 2.1219,                 1.7983,                 1.0839,                0.18021,                0.30769,                0.12601,                0.10727,                0.19761,                0.26923,                0.14458,                0.10315,                0.60921,                 1.2998,                 2.4085,                 1.0304,                    0.1,                      0,                      0
                      1,                0.96695,                  2.957,                 2.0254,                 1.1286,                0.19245,                0.30769,                0.11884,                 0.1001,                0.20381,                0.23077,                0.13236,                0.09729,                0.61617,                 1.3031,                 2.4321,                 1.0343,               0.099098,              9.802e-05,              9.802e-05
                      2,                0.97748,                 2.0563,                 2.0734,                 1.1186,                 0.1744,                0.34615,                0.11751,                0.09719,                0.20535,                0.23077,                 0.1285,                0.09556,                0.61302,                 1.3067,                 2.4566,                 1.0372,               0.098192,             0.00019208,             0.00019208
                      3,                0.96035,                 2.5959,                  1.944,                 1.1197,                0.18428,                0.34615,                0.11647,                0.09624,                 0.1888,                0.19231,                0.12681,                0.09453,                0.61246,                 1.2969,                 2.4846,                 1.0376,               0.097282,             0.00028218,             0.00028218
                      4,                0.98962,                 2.4326,                 1.9015,                 1.1305,                0.15598,                0.26923,                0.11226,                0.09292,                0.18133,                0.19231,                 0.1216,                0.09293,                 0.6164,                  1.281,                 2.5015,                 1.0358,               0.096368,             0.00036832,             0.00036832
                      5,                0.91762,                 3.0134,                  1.898,                 1.1017,                0.12675,                0.15385,                0.11005,                0.09253,                0.18516,                0.19231,                0.12006,                0.09057,                0.62804,                 1.2646,                 2.4967,                 1.0372,               0.095451,              0.0004505,              0.0004505
                      6,                0.96703,                 2.5123,                  1.829,                 1.0723,                0.14158,                0.15385,                0.10293,                0.08873,                 0.1814,                0.19231,                0.11468,                0.08704,                0.62929,                 1.2609,                  2.477,                 1.0361,               0.094529,             0.00052872,             0.00052872
                      7,                0.97591,                  2.254,                 1.9157,                 1.1076,                0.14727,                0.15385,                0.09739,                0.08317,                0.18409,                0.19231,                0.10708,                0.08123,                0.62917,                 1.2606,                 2.4919,                 1.0392,               0.093603,             0.00060298,             0.00060298
                      8,                 1.0248,                 2.7102,                 1.8605,                 1.0744,                0.12829,                0.11538,                0.09817,                0.08006,                0.17106,                0.15385,                0.10429,                0.07731,                0.62635,                  1.254,                 2.4922,                 1.0376,               0.092673,             0.00067328,             0.00067328
                      9,                 1.0184,                 2.7149,                 1.8366,                 1.0657,                0.17733,                0.15385,                0.18192,                0.14877,                0.24738,                0.19231,                0.20535,                0.15041,                0.63445,                 1.2305,                 2.0981,                 1.0109,                0.09174,             0.00073962,             0.00073962
                     10,                 1.0927,                  2.694,                 1.8169,                 1.1781,                0.17661,                0.15385,                0.17166,                0.14032,                 0.4364,                0.19231,                0.19559,                0.14165,                0.63779,                 1.2448,                 2.1339,                 1.0162,               0.090802,               0.000802,               0.000802
                     11,                 1.0386,                 2.0991,                 1.5089,                 1.1363,                0.27476,                0.30769,                0.21827,                0.17711,                0.33315,                0.30769,                0.23972,                0.18007,                0.62333,                 1.2372,                 2.0004,                 0.9987,                0.08986,             0.00086042,             0.00086042
                     12,                0.98631,                 2.3153,                 1.5928,                 1.1465,                0.49384,                0.37561,                0.26076,                0.22023,                0.51358,                0.36601,                 0.3182,                0.21818,                0.69571,                 1.4029,                 2.2601,                 1.0834,               0.088915,             0.00091488,             0.00091488
                     13,                0.72637,                 2.1071,                 1.4705,                 1.0231,                0.32417,                0.42308,                0.37026,                0.33771,                0.42394,                0.42463,                 0.3986,                 0.3338,                 0.5668,                0.99228,                 1.7105,                0.93584,               0.087965,             0.00096538,             0.00096538
                     14,                0.80259,                 1.7406,                 1.3963,                 1.0262,                0.57554,                0.53846,                0.42074,                0.36996,                0.61808,                0.57692,                 0.4607,                0.36479,                0.56692,                0.99066,                   1.61,                 0.9308,               0.087012,              0.0010119,              0.0010119
                     15,                0.83149,                 1.8682,                 1.3817,                 1.0383,                0.70659,                0.65385,                0.68467,                0.60722,                0.70659,                0.65385,                0.68467,                0.57601,                0.54842,                0.97187,                 1.3507,                0.91008,               0.086055,              0.0010545,              0.0010545
                     16,                0.65525,                 1.4131,                 1.0385,                0.95174,                0.73202,                 0.6308,                0.63403,                0.56154,                0.77669,                0.66926,                 0.7026,                0.53487,                0.54261,                 1.0121,                 1.2357,                0.90365,               0.085093,              0.0010931,              0.0010931
                     17,                0.72739,                 1.4481,                 1.1443,                  0.971,                0.73202,                 0.6308,                0.63403,                0.56154,                0.77669,                0.66926,                 0.7026,                0.53487,                0.54261,                 1.0121,                 1.2357,                0.90365,               0.084128,              0.0011278,              0.0011278
                     18,                0.71084,                  1.304,                 1.0894,                0.95299,                0.77161,                0.73077,                0.75214,                0.66736,                0.81349,                0.76923,                0.83032,                0.62753,                0.53818,                0.98651,                 1.0455,                0.89392,               0.083158,              0.0011585,              0.0011585
                     19,                0.71087,                 1.2802,                 1.1384,                0.96491,                0.77161,                0.73077,                0.75214,                0.66736,                0.81349,                0.76923,                0.83032,                0.62753,                0.53818,                0.98651,                 1.0455,                0.89392,               0.082185,              0.0011852,              0.0011852
